ID_PESAN_BARANG,KD_LOKASI,KD_BARANG,ID_PERHITUNGAN_KUANTITAS_POQ,KD_SUPPLIER,HARGA_PESAN_BARANG_DUS,BIAYA_PENGIRIMAAN,JUMLAH_PESAN_BARANG_DUS,JUMLAH_TIBA_DUS,JUMLAH_DITOLAK_DUS,TOTAL_MASUK_DUS,SISA_STOCK_DUS,TGL_EXPIRED,WAKTU_PESAN,WAKTU_ESTIMASI_SELESAI,WAKTU_SELESAI,STATUS
PSBG4A4CFBC3CFC1,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,305430.00,50000.00,104,104,0,104,0,2026-01-12,2024-09-11 00:00:00,2024-09-12 22:00:00,2024-09-13 00:00:00,SELESAI
PSBG5101FA65F419,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,302513.00,50000.00,105,105,0,105,0,2027-06-08,2024-10-01 00:00:00,2024-10-02 22:00:00,2024-10-03 00:00:00,SELESAI
PSBG4164F4656BEC,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,295043.00,50000.00,105,105,0,105,0,2026-04-24,2024-10-22 00:00:00,2024-10-23 22:00:00,2024-10-24 00:00:00,SELESAI
PSBG537A3135BCCE,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,304130.00,50000.00,104,104,0,104,0,2025-07-30,2024-11-13 00:00:00,2024-11-14 22:00:00,2024-11-15 00:00:00,SELESAI
PSBG52EF24F23145,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,308175.00,50000.00,105,105,0,105,0,2025-08-07,2024-12-04 00:00:00,2024-12-05 22:00:00,2024-12-06 00:00:00,SELESAI
PSBG470C183E6D84,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,307262.00,50000.00,105,105,0,105,0,2027-02-03,2024-12-27 00:00:00,2024-12-28 22:00:00,2024-12-29 00:00:00,SELESAI
PSBG117EC850B1CB,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,294225.00,50000.00,105,105,0,105,5,2027-10-23,2025-01-17 00:00:00,2025-01-18 22:00:00,2025-01-19 00:00:00,SELESAI
PSBG9F65A3B1CFBD,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,291650.00,50000.00,105,105,0,105,0,2027-03-31,2025-02-07 00:00:00,2025-02-08 22:00:00,2025-02-09 00:00:00,SELESAI
PSBG8B8AF1228DD8,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,300143.00,50000.00,104,104,0,104,0,2025-06-11,2025-02-26 00:00:00,2025-02-27 22:00:00,2025-02-28 00:00:00,SELESAI
PSBG4073B97A45F0,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,302037.00,50000.00,105,105,0,105,0,2026-08-06,2025-03-22 00:00:00,2025-03-23 22:00:00,2025-03-24 00:00:00,SELESAI
PSBG8E7358AD5DE9,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,290364.00,50000.00,105,105,0,105,0,2027-03-04,2025-04-12 00:00:00,2025-04-13 22:00:00,2025-04-14 00:00:00,SELESAI
PSBG1B167D9BA922,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,295949.00,50000.00,105,105,0,105,0,2026-12-14,2025-05-01 00:00:00,2025-05-02 22:00:00,2025-05-03 00:00:00,SELESAI
PSBGD6C6D30C5F73,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,297804.00,50000.00,105,105,0,105,0,2026-11-16,2025-05-24 00:00:00,2025-05-25 22:00:00,2025-05-26 00:00:00,SELESAI
PSBG4853288E1EE0,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,300294.00,50000.00,105,105,0,105,0,2026-02-08,2025-06-15 00:00:00,2025-06-16 22:00:00,2025-06-17 00:00:00,SELESAI
PSBGEA5C448870A3,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,309582.00,50000.00,105,105,0,105,0,2027-07-06,2025-07-06 00:00:00,2025-07-07 22:00:00,2025-07-08 00:00:00,SELESAI
PSBGCCEAD25B8B91,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,298427.00,50000.00,105,105,0,105,0,2026-01-03,2025-07-26 00:00:00,2025-07-27 22:00:00,2025-07-28 00:00:00,SELESAI
PSBG6A047C636C83,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,298939.00,50000.00,105,105,0,105,0,2026-06-28,2025-08-20 00:00:00,2025-08-21 22:00:00,2025-08-22 00:00:00,SELESAI
PSBG44EBB69AC555,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,294189.00,50000.00,105,105,0,105,0,2025-12-17,2025-09-11 00:00:00,2025-09-12 22:00:00,2025-09-13 00:00:00,SELESAI
PSBG406B698CB16D,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,291464.00,50000.00,105,105,0,105,0,2027-08-19,2025-10-02 00:00:00,2025-10-03 22:00:00,2025-10-04 00:00:00,SELESAI
PSBG06A798C6C600,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,296554.00,50000.00,105,105,0,105,0,2026-11-29,2025-10-23 00:00:00,2025-10-24 22:00:00,2025-10-25 00:00:00,SELESAI
PSBG1B922738E060,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,304668.00,50000.00,105,105,0,105,21,2026-12-13,2025-11-13 00:00:00,2025-11-14 22:00:00,2025-11-15 00:00:00,SELESAI
