KD_BARANG,KD_LOKASI,UPDATED_BY,JUMLAH_BARANG,JUMLAH_MIN_STOCK,JUMLAH_MAX_STOCK,SATUAN,LAST_UPDATED
mh560H4Z4RpSFTnz,TOKOk3CZ,TOKOu8EU,88,50,200,PIECES,2025-12-17 17:06:52
MpHjcrYfdsSZCZk3,GDNGj825,GDNGj825,61,30,100,DUS,2025-12-17 17:06:52
MpHjcrYfdsSZCZk3,TOKOeLig,TOKOeLig,69,50,200,PIECES,2025-12-17 17:06:52
MpHjcrYfdsSZCZk3,TOKOjtqG,TOKOrvYu,105,50,200,PIECES,2025-12-17 17:06:52
MpHjcrYfdsSZCZk3,TOKOk3CZ,TOKOu8EU,111,50,200,PIECES,2025-12-17 17:06:52
n1F0Bxwc3arcFkcV,GDNGj825,GDNGj825,74,30,100,DUS,2025-12-17 17:06:52
n1F0Bxwc3arcFkcV,TOKOeLig,TOKOeLig,44,50,200,PIECES,2025-12-17 17:06:52
n1F0Bxwc3arcFkcV,TOKOjtqG,TOKOrvYu,73,50,200,PIECES,2025-12-17 17:06:52
n1F0Bxwc3arcFkcV,TOKOk3CZ,TOKOu8EU,51,50,200,PIECES,2025-12-17 17:06:52
NmffHrvs1NmdsNtk,GDNGj825,GDNGj825,61,30,100,DUS,2025-12-17 17:06:52
NmffHrvs1NmdsNtk,TOKOeLig,TOKOeLig,130,50,200,PIECES,2025-12-17 17:06:52
NmffHrvs1NmdsNtk,TOKOjtqG,TOKOrvYu,168,50,200,PIECES,2025-12-17 17:06:52
NmffHrvs1NmdsNtk,TOKOk3CZ,TOKOu8EU,180,50,200,PIECES,2025-12-17 17:06:52
PiBLjDVZctBYPYhp,GDNGj825,GDNGj825,100,30,100,DUS,2025-12-17 17:06:52
PiBLjDVZctBYPYhp,TOKOeLig,TOKOeLig,82,50,200,PIECES,2025-12-17 17:06:52
PiBLjDVZctBYPYhp,TOKOjtqG,TOKOrvYu,115,50,200,PIECES,2025-12-17 17:06:52
PiBLjDVZctBYPYhp,TOKOk3CZ,TOKOu8EU,154,50,200,PIECES,2025-12-17 17:06:52
qASpqzyP3FQ7TKJg,GDNGj825,GDNGj825,61,30,100,DUS,2025-12-17 17:06:52
qASpqzyP3FQ7TKJg,TOKOeLig,TOKOeLig,106,50,200,PIECES,2025-12-17 17:06:52
qASpqzyP3FQ7TKJg,TOKOjtqG,TOKOrvYu,178,50,200,PIECES,2025-12-17 17:06:52
qASpqzyP3FQ7TKJg,TOKOk3CZ,TOKOu8EU,63,50,200,PIECES,2025-12-17 17:06:52
sxDvWY0uiU1zu8uz,GDNGj825,GDNGj825,100,30,100,DUS,2025-12-17 17:06:52
sxDvWY0uiU1zu8uz,TOKOeLig,TOKOeLig,151,50,200,PIECES,2025-12-17 17:06:52
sxDvWY0uiU1zu8uz,TOKOjtqG,TOKOrvYu,56,50,200,PIECES,2025-12-17 17:06:52
sxDvWY0uiU1zu8uz,TOKOk3CZ,TOKOu8EU,89,50,200,PIECES,2025-12-17 17:06:52
t3DiGNqjiBjUns42,GDNGj825,GDNGj825,38,30,100,DUS,2025-12-17 17:06:52
t3DiGNqjiBjUns42,TOKOeLig,TOKOeLig,186,50,200,PIECES,2025-12-17 17:06:52
t3DiGNqjiBjUns42,TOKOjtqG,TOKOrvYu,140,50,200,PIECES,2025-12-17 17:06:52
t3DiGNqjiBjUns42,TOKOk3CZ,TOKOu8EU,73,50,200,PIECES,2025-12-17 17:06:52
U3Avc19Uiip05fih,GDNGj825,GDNGj825,52,30,100,DUS,2025-12-17 17:06:52
U3Avc19Uiip05fih,TOKOeLig,TOKOeLig,172,50,200,PIECES,2025-12-17 17:06:52
U3Avc19Uiip05fih,TOKOjtqG,TOKOrvYu,172,50,200,PIECES,2025-12-17 17:06:52
U3Avc19Uiip05fih,TOKOk3CZ,TOKOu8EU,47,50,200,PIECES,2025-12-17 17:06:52
uafjPLDC2SFFw7Rk,GDNGj825,GDNGj825,61,30,100,DUS,2025-12-17 17:06:52
uafjPLDC2SFFw7Rk,TOKOeLig,TOKOeLig,133,50,200,PIECES,2025-12-17 17:06:52
uafjPLDC2SFFw7Rk,TOKOjtqG,TOKOrvYu,198,50,200,PIECES,2025-12-17 17:06:52
uafjPLDC2SFFw7Rk,TOKOk3CZ,TOKOu8EU,58,50,200,PIECES,2025-12-17 17:06:52
uTb95XLLdJdfEJ8u,GDNGj825,GDNGj825,48,30,100,DUS,2025-12-17 17:06:52
uTb95XLLdJdfEJ8u,TOKOeLig,TOKOeLig,171,50,200,PIECES,2025-12-17 17:06:52
uTb95XLLdJdfEJ8u,TOKOjtqG,TOKOrvYu,107,50,200,PIECES,2025-12-17 17:06:52
uTb95XLLdJdfEJ8u,TOKOk3CZ,TOKOu8EU,144,50,200,PIECES,2025-12-17 17:06:52
VHUkNBy8eqEXPVS1,GDNGj825,GDNGj825,48,30,100,DUS,2025-12-17 17:06:52
VHUkNBy8eqEXPVS1,TOKOeLig,TOKOeLig,98,50,200,PIECES,2025-12-17 17:06:52
VHUkNBy8eqEXPVS1,TOKOjtqG,TOKOrvYu,158,50,200,PIECES,2025-12-17 17:06:52
VHUkNBy8eqEXPVS1,TOKOk3CZ,TOKOu8EU,92,50,200,PIECES,2025-12-17 17:06:52
vLwTPWXVitRFFFLJ,GDNGj825,GDNGj825,100,30,100,DUS,2025-12-17 17:06:52
vLwTPWXVitRFFFLJ,TOKOeLig,TOKOeLig,75,50,200,PIECES,2025-12-17 17:06:52
vLwTPWXVitRFFFLJ,TOKOjtqG,TOKOrvYu,80,50,200,PIECES,2025-12-17 17:06:52
vLwTPWXVitRFFFLJ,TOKOk3CZ,TOKOu8EU,103,50,200,PIECES,2025-12-17 17:06:52
x2RqyPEi640Bx5c0,GDNGj825,GDNGj825,74,30,100,DUS,2025-12-17 17:06:52
x2RqyPEi640Bx5c0,TOKOeLig,TOKOeLig,159,50,200,PIECES,2025-12-17 17:06:52
x2RqyPEi640Bx5c0,TOKOjtqG,TOKOrvYu,183,50,200,PIECES,2025-12-17 17:06:52
x2RqyPEi640Bx5c0,TOKOk3CZ,TOKOu8EU,101,50,200,PIECES,2025-12-17 17:06:52
Xd7uGwF2hrKTbD4P,GDNGj825,GDNGj825,93,30,100,DUS,2025-12-17 17:06:52
Xd7uGwF2hrKTbD4P,TOKOeLig,TOKOeLig,109,50,200,PIECES,2025-12-17 17:06:52
Xd7uGwF2hrKTbD4P,TOKOjtqG,TOKOrvYu,212,50,200,PIECES,2025-12-17 17:06:52
Xd7uGwF2hrKTbD4P,TOKOk3CZ,TOKOu8EU,204,50,200,PIECES,2025-12-17 17:06:52
XMA9bdbvm8CXVsYU,GDNGj825,GDNGj825,48,30,100,DUS,2025-12-17 17:06:52
XMA9bdbvm8CXVsYU,TOKOeLig,TOKOeLig,96,50,200,PIECES,2025-12-17 17:06:52
XMA9bdbvm8CXVsYU,TOKOjtqG,TOKOrvYu,175,50,200,PIECES,2025-12-17 17:06:52
XMA9bdbvm8CXVsYU,TOKOk3CZ,TOKOu8EU,150,50,200,PIECES,2025-12-17 17:06:52
XzN8unV1kQRnjha4,GDNGj825,GDNGj825,93,30,100,DUS,2025-12-17 17:06:52
XzN8unV1kQRnjha4,TOKOeLig,TOKOeLig,62,50,200,PIECES,2025-12-17 17:06:52
XzN8unV1kQRnjha4,TOKOjtqG,TOKOrvYu,101,50,200,PIECES,2025-12-17 17:06:52
XzN8unV1kQRnjha4,TOKOk3CZ,TOKOu8EU,213,50,200,PIECES,2025-12-17 17:06:52
ZwcXmVPafgipxtmm,GDNGj825,GDNGj825,48,30,100,DUS,2025-12-17 17:06:52
ZwcXmVPafgipxtmm,TOKOeLig,TOKOeLig,131,50,200,PIECES,2025-12-17 17:06:52
ZwcXmVPafgipxtmm,TOKOjtqG,TOKOrvYu,178,50,200,PIECES,2025-12-17 17:06:52
ZwcXmVPafgipxtmm,TOKOk3CZ,TOKOu8EU,205,50,200,PIECES,2025-12-17 17:06:52
